source,code,country,elevation_ft,frequency_1_frequency,frequency_1_service,frequency_2_frequency,frequency_2_service,frequency_3_frequency,frequency_3_service,latitude,longitude,magnetic_variation,name,state,time_zone,type
vfr,KKN,Australia,,,,,,,,270400S,1512600E,,KAIMKILLENBUN,QLD,,
vfr,KAO,Australia,,,,,,,,373212S,1445642E,,KALKALLO,VIC,,
vfr,KERW,Australia,,,,,,,,251300S,1512100E,,KEERWEE,QLD,,
vfr,KALL,Australia,,,,,,,,141200S,1413600E,,KENDALL,QLD,,
vfr,KSI,Australia,,,,,,,,205500S,1492500E,,KESWICK ISLAND,QLD,,
vfr,KMA,Australia,,,,,,,,344000S,1505100E,,KIAMA,NSW,,
vfr,KIAN,Australia,,,,,,,,355200S,1483000E,,KIANDRA,NSW,,
vfr,KDBF,Australia,,,,,,,,221500S,1250200E,,KIDSON BLUFF,WA,,
vfr,KIWA,Australia,,,,,,,,361530S,1470030E,,KIEWA,VIC,,
vfr,KLCY,Australia,,,,,,,,265630S,1523350E,,KILCOY TOWNSHIP,QLD,,
vfr,KKV,Australia,,,,,,,,260500S,1521448E,,KILKIVAN,QLD,,
vfr,KIM,Australia,,,,,,,,371800S,1445715E,,KILMORE,VIC,,
vfr,KMG,Australia,,,,,,,,371800S,1445900E,,KILMORE GAP,VIC,,
vfr,KLTO,Australia,,,,,,,,174129S,1224249E,,KILTO,WA,,
vfr,KCAS,Australia,,,,,,,,153730S,1251800E,,KING CASCADES,WA,,
vfr,KRT,Australia,,,,,,,,180500S,1455000E,,KING RANCH TULLY,QLD,,
vfr,KGLE,Australia,,,,,,,,373120S,1452100E,,KINGLAKE,VIC,,
vfr,KBCH,Australia,,,,,,,,264819S,1530824E,,KINGS BEACH,QLD,,
vfr,KCFF,Australia,,,,,,,,281500S,1533418E,,KINGSCLIFF,NSW,,
vfr,KGT,Australia,,,,,,,,272840S,1514850E,,KINGSTHORPE,QLD,,
vfr,KINN,Australia,,,,,,,,375724S,1450436E,,KINGSTON CENTRE,VIC,,
vfr,KIRA,Australia,,,,,,,,280959S,1533121E,,KIRRA,NSW,,
vfr,KSPT,Australia,,,,,,,,191430S,1464820E,,KISSING POINT,QLD,,
vfr,KNW,Australia,,,,,,,,383100S,1454300E,,KONGWAK,VIC,,
vfr,KTG,Australia,,,,,,,,130500S,1353900E,,KOOLATONG RIVER,NT,,
vfr,KBD,Australia,,,,,,,,175000S,1453600E,,KOOMBOOLOOMBA DAM,QLD,,
vfr,KOOM,Australia,,,,,,,,312900S,1293500E,,KOOMOOLOOBOOKA CAVE,SA,,
vfr,KANC,Australia,,,,,,,,231855S,1504534E,,KOORANA CROCODILE FARM,QLD,,
vfr,KOT,Australia,,,,,,,,310300S,1510300E,,KOOTINGAL,NSW,,
vfr,KOPP,Australia,,,,,,,,165552S,1454402E,,KOPPEN PARK,QLD,,
vfr,KREE,Australia,,,,,,,,355500S,1365500E,,KOREELAH,SA,,
vfr,KUN,Australia,,,,,,,,225500S,1500800E,,KUNWARARA,QLD,,
vfr,KRN,Australia,,,,,,,,164900S,1453815E,,KURANDA,QLD,,
vfr,KRMD,Australia,,,,,,,,333303S,1504114E,,KURMOND,NSW,,
vfr,KYP,Australia,,,,,,,,352650S,1473700E,,KYEAMBA PARK,NSW,,
vfr,KYE,Australia,,,,,,,,353130S,1473530E,,KYEAMBA TOWER,NSW,,
vfr,KTN,Australia,,,,,,,,371450S,1442730E,,KYNETON,VIC,,
vfr,LDH,Australia,,,,,,,,351240S,1473100E,,LADYSMITH,NSW,,
vfr,LDLY,Australia,,,,,,,,273800S,1522300E,,LAIDLEY,QLD,,
vfr,LKT,Australia,,,,,,,,351040S,1472148E,,LAKE ALBERT,NSW,,
vfr,LKAD,Australia,,,,,,,,243448S,1302742E,,LAKE AMADEUS,NT,,
vfr,LBT,Australia,,,,,,,,350300S,1494100E,,LAKE BATHURST,NSW,,
vfr,LKON,Australia,,,,,,,,272930S,1522100E,,LAKE CLARENDON,QLD,,
vfr,LCR,Australia,,,,,,,,380600S,1433100E,,LAKE CORANGAMITE,VIC,,
vfr,LCDI,Australia,,,,,,,,264555S,1530812E,,LAKE CURRIMUNDI,QLD,,
vfr,LAD,Australia,,,,,,,,124400S,1310100E,,LAKE DEANE,NT,,
vfr,LDAP,Australia,,,,,,,,233000S,1224000E,,LAKE DISAPPOINTMENT,WA,,
vfr,LKEC,Australia,,,,,,,,421000S,1463800E,,LAKE ECHO,TAS,,
vfr,LEM,Australia,,,,,,,,212920S,1485000E,,LAKE EPSOM,QLD,,
vfr,LEYN,Australia,,,,,,,,282500S,1371800E,,LAKE EYRE NORTH,SA,,
vfr,LFS,Australia,,,,,,,,122250S,1312830E,,LAKE FINNISS,NT,,
vfr,LFRO,Australia,,,,,,,,303800S,1395200E,,LAKE FROME,SA,,
vfr,LGGN,Australia,,,,,,,,345918S,1492330E,,LAKE GEORGE NORTH,NSW,,
vfr,LGGS,Australia,,,,,,,,351210S,1492430E,,LAKE GEORGE SOUTH,NSW,,
vfr,LGEN,Australia,,,,,,,,261300S,1243600E,,LAKE GILLEN,WA,,
vfr,LGDA,Australia,,,,,,,,351400S,1490406E,,LAKE GININDERRA,ACT,,
vfr,LKH,Australia,,,,,,,,360700S,1415200E,,LAKE HINDMARSH,VIC,,
vfr,LKIM,Australia,,,,,,,,291500S,1274600E,,LAKE ILMA,WA,,
vfr,LKG,Australia,,,,,,,,330500S,1194000E,,LAKE KING,WA,,
vfr,LMC,Australia,,,,,,,,272900S,1524600E,,LAKE MANCHESTER,QLD,,
vfr,LME,Australia,,,,,,,,292400S,1305700E,,LAKE MAURICE,SA,,
vfr,LMWL,Australia,,,,,,,,293500S,1231000E,,LAKE MINIGWAL,WA,,
vfr,LOOH,Australia,,,,,,,,280200S,1523300E,,LAKE MOOGERAH,QLD,,
vfr,LKNL,Australia,,,,,,,,241450S,1295759E,,LAKE NEALE,NT,,
vfr,LRID,Australia,,,,,,,,293300S,1221800E,,LAKE RAESIDE,WA,,
vfr,LRAN,Australia,,,,,,,,284000S,1241700E,,LAKE RASON,WA,,
vfr,LSPR,Australia,,,,,,,,201400S,1314800E,,LAKE SURPRISE,NT,,
vfr,LTL,Australia,,,,,,,,273800S,1240500E,,LAKE THROSSELL,WA,,
vfr,LTRR,Australia,,,,,,,,312518S,1380512E,,LAKE TORRENS,SA,,
vfr,WITE,Australia,,,,,,,,210600S,1290300E,,LAKE WHITE,NT,,
vfr,LYEO,Australia,,,,,,,,280305S,1243306E,,LAKE YEO,WA,,
vfr,LKEE,Australia,,,,,,,,375200S,1480000E,,LAKES ENTRANCE,VIC,,
vfr,LCD,Australia,,,,,,,,371640S,1444340E,,LANCEFIELD,VIC,,
vfr,LANC,Australia,,,,,,,,310107S,1151942E,,LANCELIN TOWNSHIP,WA,,
vfr,LGH,Australia,,,,,,,,221200S,1500600E,,LANGHAM,QLD,,
vfr,LHCK,Australia,,,,,,,,351745S,1390240E,,LANGHORNE CREEK,SA,,
vfr,LSDW,Australia,,,,,,,,173654S,1264436E,,LANSDOWNE,WA,,
vfr,LUY,Australia,,,,,,,,374300S,1450300E,,LATROBE UNIVERSITY,VIC,,
vfr,LAUD,Australia,,,,,,,,425400S,1473000E,,LAUDERDALE,TAS,,
vfr,LVAB,Australia,,,,,,,,375149S,1444445E,,LAVERTON,VIC,,
vfr,TON,Australia,,,,,,,,375119S,1444519E,,LAVERTON BOM TOWER,VIC,,
vfr,LWG,Australia,,,,,,,,240100S,1332430E,,LAWRENCE GORGE,NT,,
vfr,LPT,Australia,,,,,,,,122000S,1305400E,,LEE PT,NT,,
vfr,LPD,Australia,,,,,,,,381130S,1442800E,,LEOPOLD,VIC,,
vfr,LIHR,Australia,,,,,,,,334753S,1505115E,,LIGHTHORSE INTERCHANGE M7/M4,NSW,,
vfr,LIY,Australia,,,,,,,,411500S,1471300E,,LILYDALE,TAS,,
vfr,LOWS,Australia,,,,,,,,374942S,1472600E,,LINDENOW SOUTH,VIC,,
